59	1.162980534 0	0.003407783
1173	0.157057089	0 0.000807204
1332	0.141889083 0	0.000761762
511	0.275491402 0		0.001110928
1275	0.126101126 0		0.000949622
121	1.013909303 0		0.005465098
244	0.634857323 0		0.007558203
344	0.476835991 0		0.003317459
411	0.375373166 0		0.009790974
443	0.419843701 0		0.009405873
586	0.312565407 0		0.01920985
688	0.271568132 0		0.013062469
778	0.231794232 0		0.003024576
867	0.199570015 0		0.004842147
964	0.18474697 0		0.00250456
1005	0.242396426	 0	0.013718178
1085	0.187352353	 0	0.003020847
1112	0.17240712 0		0.002502744
1212	0.159794824	 0	0.00737487
1299	0.150011897	 0	0.006625749
1408	0.13957452	 0	0.001780473
1457	0.126919382	 0	0.010924706
1528	0.150989762	 0	0.01603136
