Mean 			    StdDev 	            Resolution[%]	Integral 	
77.4452	0.118442	4.18278	0.447415	12.7183	    6362.7	79.7665
186.841	0.0670215	1.20891	0.0782468	1.52363	    13493.1	116.16
240.671	0.0652598	2.36204	0.0560948	2.31111	    16044.9	126.668
295.71	0.023875	1.17775	0.0305676	0.937876    15029.9	122.597
352.23	0.0165398	1.27473	0.0157001	0.852214	13061	114.285
463.198	0.231131	1.13983	0.17599	    0.579472	2658.33	51.559
510.678	0.0748763	1.35081	0.078408	0.62288	3   067.22	55.3825
582.713	0.0622175	1.33387	0.0750664	0.539035	3203.9	56.603
608.789	0.0153075	1.25387	0.0132321	0.485002	10524.7	102.59
767.34	0.0745419	1.49718	0.0775805	0.459455	2553.24	50.5296
909.686	0.0647136	1.24389	0.0665427	0.321994	2490.62	49.9062
932.552	0.0816521	1.16281	0.088492	0.293625	1914.99	43.7606
966.471	0.269765	2.21754	0.251819	0.540307	1955.5	44.2211
1118.16	0.0350466	1.32267	0.0289656	0.278552	3329.68	57.7034
1235.6	0.0670311	1.36584	0.0580502	0.260303	1882	43.382
1374.69	0.0935618	1.50773	0.0927559	0.258272	1606.26	40.0782
1760.33	0.0400996	1.48313	0.0311049	0.198401	2071.61	45.5149
